geo_accession,Seq,hsa-miR-320a,hsa-miR-575,hsa-miR-602,hsa-miR-614,hsa-miR-620,hsa-miR-638,hsa-miR-663a,hsa-miR-92a-2-5p,hsa-miR-135a-3p,hsa-miR-125a-3p,hsa-miR-92b-5p,hsa-miR-885-3p,hsa-miR-887-3p,hsa-miR-939-5p,hsa-miR-1228-5p,hsa-miR-1203,hsa-miR-1258,hsa-miR-1262,hsa-miR-1268a,hsa-miR-1307-3p,hsa-miR-1469,hsa-miR-1909-3p,hsa-miR-1915-3p,hsa-miR-3141,hsa-miR-3156-5p,hsa-miR-3178,hsa-miR-3180-3p,hsa-miR-3184-5p,hsa-miR-3187-3p,hsa-miR-3194-5p,hsa-miR-4294,hsa-miR-4276,hsa-miR-4286,hsa-miR-3180,hsa-miR-642b-3p,hsa-miR-4433a-3p,hsa-miR-4435,hsa-miR-4449,hsa-miR-4464,hsa-miR-4481,hsa-miR-4492,hsa-miR-4526,hsa-miR-4530,hsa-miR-4532,hsa-miR-3940-5p,hsa-miR-4634,hsa-miR-4648,hsa-miR-4649-5p,hsa-miR-4675,hsa-miR-4687-5p,hsa-miR-4707-3p,hsa-miR-4728-5p,hsa-miR-4730,hsa-miR-4734,hsa-miR-4741,hsa-miR-4746-3p,hsa-miR-4758-5p,hsa-miR-4783-3p,hsa-miR-4787-5p,hsa-miR-5195-3p,hsa-miR-5572,hsa-miR-197-5p,hsa-miR-1233-5p,hsa-miR-1238-5p,hsa-miR-6088,hsa-miR-6090,hsa-miR-6131,hsa-miR-6501-5p,hsa-miR-128-1-5p,hsa-miR-328-5p,hsa-miR-1343-5p,hsa-miR-6729-5p,hsa-miR-6749-5p,hsa-miR-6756-5p,hsa-miR-6765-5p,hsa-miR-6766-5p,hsa-miR-6768-5p,hsa-miR-6769a-5p,hsa-miR-6781-5p,hsa-miR-6784-5p,hsa-miR-6786-5p,hsa-miR-6787-5p,hsa-miR-6798-5p,hsa-miR-6802-5p,hsa-miR-6805-5p,hsa-miR-6805-3p,hsa-miR-6816-5p,hsa-miR-6825-5p,hsa-miR-6858-5p,hsa-miR-6861-5p,hsa-miR-6869-5p,hsa-miR-6875-5p,hsa-miR-6885-5p,hsa-miR-6889-5p,hsa-miR-7110-5p,hsa-miR-7114-5p,hsa-miR-7704,hsa-miR-8059,hsa-miR-8069,hsa-miR-8073,Breast Cancer
2851882,9,4.436,7.554,5.581,6.343,-3.735,12.919,10.125,10.301,7.105,6.465,8.67,3.509,7.436,7.912,11.858,6.446,-3.735,-3.735,11.009,4.614,10.504,8.561,10.557,7.318,3.321,11.949,8.659,7.734,5.415,5.61,11.081,5.48,4.831,8.596,7.919,7.463,5.626,7.431,-3.735,5.67,10.407,4.415,10.498,10.935,11.927,8.873,5.437,8.977,5.939,5.507,6.424,6.27,9.738,11.886,8.73,6.423,7.883,5.281,13.405,5.982,7.276,6.355,10.061,5.167,9.728,12.918,4.774,4.678,6.997,10.731,10.216,12.771,9.083,7.376,10.803,4.613,10.068,5.728,10.182,13.055,12.521,7.481,10.834,7.915,11.283,7.775,10.862,8.015,7.068,6.353,13.701,8.907,10.303,7.696,8.221,8.384,13.746,7.235,12.511,4.762,0
2851883,4,4.622,7.925,5.892,7.331,-3.495,12.914,10.318,9.805,6.93,7.378,8.736,4.425,7.781,7.72,11.894,6.532,-3.495,-3.495,11.385,5.181,10.553,8.772,11.134,7.476,2.458,12.12,9.008,8.095,5.445,5.255,10.784,5.527,5.562,8.802,7.522,7.273,4.698,7.198,-3.495,5.125,10.474,4.645,10.58,10.618,11.948,8.894,5.421,8.728,6.196,5.569,6.69,6.541,9.198,12.009,9.239,7.27,8.005,5.334,13.61,5.711,6.95,6.864,10.046,5.185,10.618,13.065,5.966,4.615,7.157,10.903,10.554,12.946,9.16,7.538,10.832,5.225,9.931,5.864,10.585,13.023,12.723,7.693,11.097,7.916,11.276,7.86,10.967,7.407,7.597,6.349,13.74,9.332,9.977,7.822,8.042,7.699,13.683,8.007,12.927,5.263,0
2851884,5,5.14,7.495,5.625,7.411,-0.199,12.995,10.23,9.973,6.612,7.437,8.429,4.314,7.535,7.801,12.191,6.394,-3.58,-3.58,11.353,5.367,10.828,8.635,10.533,7.625,2.052,12.254,8.645,7.925,5.365,4.422,10.834,5.836,6.469,8.813,8.051,7.513,4.403,6.926,-3.58,4.637,10.394,3.824,10.243,10.652,11.929,8.918,5.657,9.103,6.072,5.694,6.884,6.485,9.271,12.001,9.415,6.931,8.093,5.286,13.617,5.764,6.923,6.909,10.274,4.583,9.948,13.206,8.661,4.091,6.824,11.139,10.417,12.992,9.421,7.673,11.066,5.112,9.787,5.878,10.616,13.162,12.791,7.99,10.981,7.867,11.311,7.569,10.817,7.511,7.99,6.668,13.943,9.385,10.328,7.556,7.998,7.467,13.71,8.383,12.875,4.883,0
2851885,10,5.015,7.733,4.662,7.676,-3.46,12.935,10.433,9.589,6.59,7.008,8.401,4.837,7.577,8.178,11.839,6.38,-3.46,-3.46,11.469,5.613,10.566,8.587,10.826,7.344,2.341,12.216,8.726,7.855,5.128,4.125,10.43,5.714,6.074,8.713,7.475,7.432,4.43,6.702,-3.46,4.251,10.399,4.02,10.115,10.649,11.759,8.706,5.973,8.918,6.099,5.087,6.233,6.64,8.844,11.781,9.369,7.09,8.007,5.259,13.523,5.637,7.361,6.913,10.194,4.988,10.592,12.997,9.128,2.13,7.026,11.032,10.496,12.83,9.297,7.585,10.818,4.819,9.696,5.887,10.403,13.033,12.601,7.881,11.213,7.831,11.164,7.885,10.908,7.621,7.522,6.811,13.826,9.05,10.031,7.533,8.509,7.188,13.616,8.382,12.897,5.103,0
2851886,7,5.487,7.3,5.329,7.04,-3.584,12.985,10.133,9.521,6.427,7.554,8.192,4.065,7.544,7.59,11.81,6.293,-3.584,-0.104,11.251,5.155,10.651,8.658,10.726,7.154,3.917,12.273,8.969,7.537,5.519,4.67,10.279,5.726,5.755,8.729,7.551,7.535,4.707,6.964,-3.584,4.709,10.314,4.727,10.028,10.852,12.096,8.965,5.925,9.171,5.952,5.338,6.447,6.352,9.19,12.096,9.047,6.886,7.988,5.16,13.642,5.544,6.935,6.852,10.286,5.055,9.665,13.215,7.267,3.898,7.076,11.139,10.314,12.961,9.193,7.635,10.829,4.973,9.464,5.856,10.428,13.066,12.725,7.67,10.897,7.902,11.169,7.495,10.877,7.309,7.471,6.632,13.789,9.381,10.323,7.441,7.816,7.437,13.943,7.877,12.929,5.214,0
2851887,5,4.524,7.812,4.831,7.152,-4.086,12.895,10.214,10.164,6.432,7.516,8.333,4.491,7.541,7.908,11.942,6.569,-4.086,-4.086,11.319,5.452,10.56,8.653,10.764,7.487,2.788,12.221,8.805,8.041,5.33,4.015,10.561,5.741,6.045,8.755,7.679,7.506,3.978,6.214,0.673,3.619,10.271,3.933,10.268,10.726,11.984,8.857,6.647,8.864,5.964,5.622,6.659,6.261,9.233,11.901,9.46,6.971,8.052,5.129,13.551,5.607,7.277,6.919,10.359,5.233,10.648,13.042,9.415,2.062,7.068,10.99,10.526,12.974,9.335,7.591,10.788,4.684,9.664,5.573,10.506,13.214,12.708,8.096,10.975,7.901,11.245,7.679,10.84,7.571,7.512,6.982,13.832,9.368,10.021,7.631,8.225,6.712,13.768,8.142,12.897,5.2,0
2851888,9,5.142,7.724,4.941,6.941,-3.246,12.733,10.448,9.62,6.303,7.586,8.265,4.967,7.397,8.216,11.908,5.938,-3.246,-3.246,11.309,5.19,10.662,8.449,10.606,7.486,1.763,12.069,8.52,7.855,5.636,4.048,10.694,5.257,5.98,8.848,7.497,7.28,4.79,6.636,2.837,4.473,10.475,4.494,10.15,10.446,11.693,8.807,5.864,8.713,5.824,5.966,6.356,6.457,8.847,11.948,9.2,6.789,7.9,5.183,13.569,5.823,7.51,6.873,10.244,5.142,10.243,13.132,6.906,3.103,7.088,11.13,10.397,12.91,9.211,7.826,10.903,5.209,9.538,5.501,10.374,13.055,12.689,7.83,11.159,7.895,11.139,7.97,10.761,7.71,7.982,6.925,13.737,8.885,10.073,7.662,8.53,7.694,13.629,7.8,12.754,4.402,0
2851889,4,5.095,7.791,5.313,8.081,-2.413,12.723,10.482,9.773,6.945,6.598,8.614,4.757,7.381,7.705,11.801,5.907,-2.413,-2.413,11.205,4.904,10.831,8.587,10.648,7.208,-2.413,12.06,8.51,7.874,5.598,5.597,10.78,5.458,5.893,8.738,7.896,7.305,5.666,7.407,-2.413,5.094,10.416,3.934,10.282,10.638,11.738,8.709,5.654,8.903,6.258,5.107,6.283,6.763,8.567,11.847,9.02,6.702,7.945,5.799,13.491,5.905,6.993,6.891,10.158,5.057,10.247,13.009,7.342,4.572,7.024,10.86,10.411,12.839,9.095,7.772,10.847,5.445,9.846,5.839,10.309,12.932,12.599,7.794,11.043,8.135,11.089,7.659,10.773,7.549,7.41,6.9,13.678,8.912,10.21,7.769,8.013,7.668,13.576,8.539,12.855,4.846,0
2851890,2,4.692,7.811,4.557,7.539,-3.254,12.656,9.887,9.797,6.103,7.685,8.203,3.657,7.399,8.059,11.875,6.232,-3.254,-3.254,11.111,5.077,10.224,8.57,10.558,7.328,3.539,11.941,8.56,7.831,5.272,4.825,10.701,4.966,5.381,8.786,7.649,7.297,4.688,6.576,-3.254,4.98,10.25,4.597,10.206,10.593,11.815,8.704,5.906,8.701,6.07,5.152,6.498,6.315,8.705,11.712,8.968,6.762,7.94,5.22,13.367,5.862,7.437,6.696,10.225,5.305,9.532,12.936,7.168,3.175,7.18,10.782,10.334,12.686,9.134,7.625,10.94,5.024,9.724,5.95,10.266,13.037,12.508,7.719,10.883,7.966,11.118,8.019,10.814,7.877,7.147,6.8,13.534,9.109,10.067,7.694,8.354,7.578,13.516,8.306,12.593,5.097,0
2851891,10,4.414,7.172,5.002,7.485,-3.227,12.756,10.061,9.985,6.915,6.852,8.06,3.738,7.442,8.022,11.894,6.288,-3.227,-3.227,11.118,4.722,10.388,8.771,10.42,7.238,2.998,12.142,8.782,8.081,5.099,3.958,10.746,5.357,5.765,8.738,7.903,7.705,5.234,7.116,-3.227,4.822,10.396,4.554,9.84,10.876,11.985,9.049,5.808,9.309,6.43,5.355,6.713,6.441,9.323,11.96,9.121,6.596,8.221,5.143,13.543,5.948,7.423,6.454,10.328,5.05,10.097,13.057,6.28,4.034,7.065,10.923,10.25,12.779,9.317,7.943,10.962,4.886,9.715,5.579,10.491,13.187,12.686,8.042,10.785,8.159,11.319,8.006,10.93,7.973,7.179,7.174,13.747,9.341,10.494,7.812,8.308,7.869,13.748,8.242,12.714,4.881,0
