geo_accession,Seq,hsa-miR-320a,hsa-miR-575,hsa-miR-602,hsa-miR-614,hsa-miR-620,hsa-miR-638,hsa-miR-663a,hsa-miR-92a-2-5p,hsa-miR-135a-3p,hsa-miR-125a-3p,hsa-miR-92b-5p,hsa-miR-885-3p,hsa-miR-887-3p,hsa-miR-939-5p,hsa-miR-1228-5p,hsa-miR-1203,hsa-miR-1258,hsa-miR-1262,hsa-miR-1268a,hsa-miR-1307-3p,hsa-miR-1469,hsa-miR-1909-3p,hsa-miR-1915-3p,hsa-miR-3141,hsa-miR-3156-5p,hsa-miR-3178,hsa-miR-3180-3p,hsa-miR-3184-5p,hsa-miR-3187-3p,hsa-miR-3194-5p,hsa-miR-4294,hsa-miR-4276,hsa-miR-4286,hsa-miR-3180,hsa-miR-642b-3p,hsa-miR-4433a-3p,hsa-miR-4435,hsa-miR-4449,hsa-miR-4464,hsa-miR-4481,hsa-miR-4492,hsa-miR-4526,hsa-miR-4530,hsa-miR-4532,hsa-miR-3940-5p,hsa-miR-4634,hsa-miR-4648,hsa-miR-4649-5p,hsa-miR-4675,hsa-miR-4687-5p,hsa-miR-4707-3p,hsa-miR-4728-5p,hsa-miR-4730,hsa-miR-4734,hsa-miR-4741,hsa-miR-4746-3p,hsa-miR-4758-5p,hsa-miR-4783-3p,hsa-miR-4787-5p,hsa-miR-5195-3p,hsa-miR-5572,hsa-miR-197-5p,hsa-miR-1233-5p,hsa-miR-1238-5p,hsa-miR-6088,hsa-miR-6090,hsa-miR-6131,hsa-miR-6501-5p,hsa-miR-128-1-5p,hsa-miR-328-5p,hsa-miR-1343-5p,hsa-miR-6729-5p,hsa-miR-6749-5p,hsa-miR-6756-5p,hsa-miR-6765-5p,hsa-miR-6766-5p,hsa-miR-6768-5p,hsa-miR-6769a-5p,hsa-miR-6781-5p,hsa-miR-6784-5p,hsa-miR-6786-5p,hsa-miR-6787-5p,hsa-miR-6798-5p,hsa-miR-6802-5p,hsa-miR-6805-5p,hsa-miR-6805-3p,hsa-miR-6816-5p,hsa-miR-6825-5p,hsa-miR-6858-5p,hsa-miR-6861-5p,hsa-miR-6869-5p,hsa-miR-6875-5p,hsa-miR-6885-5p,hsa-miR-6889-5p,hsa-miR-7110-5p,hsa-miR-7114-5p,hsa-miR-7704,hsa-miR-8059,hsa-miR-8069,hsa-miR-8073,Breast Cancer
2850709,8,6.957,3.919,5.502,9.803,0.333,12.101,12.696,6.25,5.459,5.233,10.47,5.634,5.686,5.665,10.628,0.333,4.7,0.333,10.627,9.242,12.454,7.832,9.933,8.293,6.009,11.021,8.826,5.841,4.983,0.333,9.761,4.601,7.043,7.802,9.652,7.81,4.884,4.46,4.981,0.333,10.424,0.333,8.902,14.062,10.923,7.514,0.512,10.857,8.524,6.364,5.938,7.47,7.192,13.646,9.084,6.129,9.075,8.933,12.752,6.985,5.862,8.43,12.13,7.117,11.656,14.043,11.43,0.333,5.402,11.593,9.25,11.859,9.912,8.651,9.845,6.502,9.106,7.012,9.479,11.471,11.984,9.008,9.971,8.68,10.036,7.017,9.914,6.324,8.725,7.736,12.525,7.745,11.772,6.347,7.339,7.09,13.181,9.707,11.998,7.489,1
2850710,6,7.994,6.446,1.941,11.966,5.821,13.279,12.707,1.941,1.941,1.941,9.388,1.941,7.014,6.696,10.86,1.941,1.941,1.941,10.819,10.067,12.529,8.465,10.949,7.96,1.941,11.882,8.467,1.941,1.941,1.941,8.561,1.941,6.834,8.001,9.777,6.485,1.941,1.941,6.848,1.941,10.547,1.941,8.432,15.563,11.309,8.688,1.941,11.272,8.855,7.675,6.57,6.785,6.794,15.203,9.29,7.035,9.464,8.539,13.329,7.726,4.08,6.818,12.023,4.407,11.763,14.61,14.123,1.941,1.941,11.762,9.142,12.63,9.911,8.409,9.892,7.081,8.261,6.582,9.636,11.247,12.384,9.197,10.433,8.613,10.918,6.738,9.805,1.941,8.369,8.267,13.364,6.944,12.04,1.941,5.262,1.941,13.577,12.039,12.818,7.127,1
2850711,6,7.615,4.607,5.449,10.046,0.371,12.379,11.225,6.672,5.337,0.371,8.326,6.229,5.662,6.085,10.768,4.267,0.371,0.371,10.78,9.431,11.087,8.601,10.356,7.914,2.934,11.151,8.191,4.394,5.336,0.371,9.322,0.371,7.441,8.776,8.562,7.636,0.371,6.263,3.878,5.758,9.426,3.774,8.327,15.079,11.297,8.107,5.576,10.923,9.064,5.467,6.499,7.461,7.375,14.155,8.776,3.548,9.27,8.92,12.782,6.967,6.291,7.162,11.824,5.57,11.98,13.649,12.158,4.166,7.106,11.726,9.752,11.897,9.439,9.131,9.995,4.775,8.648,6.739,9.586,11.687,12.1,9.453,10.133,8.861,10.56,7.336,9.623,0.371,7.795,8.201,12.731,7.735,11.375,5.802,6.516,4.605,12.936,10.225,12.234,7.163,1
2850712,3,5.866,4.992,0.415,10.258,0.415,12.137,11.996,7.145,4.515,0.415,9.455,0.415,5.333,3.107,10.772,0.415,5.175,6.727,10.921,9.238,11.739,8.144,9.724,6.768,7.541,10.988,8.682,5.501,6.407,5.643,9.437,0.415,7.622,8.489,9.589,7.894,6.389,6.6,4.446,5.117,9.746,0.415,8.969,14.701,10.759,7.09,6.277,10.929,9.375,7.278,7.146,6.597,5.934,14.505,9.133,4.988,9.718,9.14,12.63,8.408,0.415,8.609,12.788,6.119,11.681,13.974,12.497,6.119,0.415,11.858,9.043,11.786,9.721,8.817,10.091,6.457,8.407,6.829,9.887,11.062,12.002,9.628,10.396,8.75,10.544,3.635,9.818,6.278,7.805,7.782,12.63,7.367,11.375,0.415,6.238,0.415,12.84,11.018,12.18,8.506,1
2850713,4,6.783,5.281,2.547,10.173,-0.586,12.486,11.845,5.76,3.832,-0.586,9.446,5.426,5.762,6.439,10.817,3.596,-0.586,-0.586,10.66,9.366,11.801,8.503,10.285,8.196,4.649,11.26,8.364,5.302,7.32,-0.586,9.355,2.303,7.479,8.623,9.839,7.664,-0.586,7.178,-0.586,8.434,9.968,2.846,8.493,14.904,10.952,8.006,6.016,11.376,9.14,7.252,5.751,7.835,7.699,14.398,9.26,6.05,9.382,8.27,12.748,8.288,4.957,7.99,12.026,6.903,11.763,13.945,12.697,8.234,3.887,11.851,9.53,12.039,9.843,9.049,10.084,6.543,8.696,7.75,9.98,11.434,12.153,9.256,10.152,8.871,10.693,6.921,9.941,5.849,8.759,8.039,13.239,8.548,11.739,6.288,6.848,6.838,13.088,10.297,12.232,7.554,1
2850714,8,6.926,-0.036,2.387,10.422,-0.036,12.423,11.981,6.813,-0.036,3.702,9.441,7.367,3.558,5.191,10.621,-0.036,-0.036,5.316,10.413,9.992,11.969,8.178,10.324,7.318,7.097,11.504,8.014,5.884,5.388,2.836,9.083,-0.036,6.955,8.62,9.466,7.455,-0.036,7.383,-0.036,6.864,9.793,2.377,9.023,14.991,11.223,8.447,6.475,11.293,9.491,6.351,2.026,8.385,7.19,14.631,8.753,5.647,9.819,9.313,12.881,7.58,3.406,8.072,12.221,6.056,11.592,13.946,12.485,2.125,6.748,11.692,9.317,12.068,10.125,9.211,10.09,8.472,7.89,7.9,9.678,11.201,11.933,9.567,9.527,8.528,10.614,6.578,9.554,6.294,8.654,8.108,12.555,7.705,11.858,6.453,7.914,5.543,13.339,10.675,12.43,7.876,1
2850716,8,6.026,6.179,3.515,9.551,-0.642,12.267,11.693,6.812,6.545,6.182,9.42,7.014,5.35,6.594,11.01,2.575,6.102,-0.642,11.151,9.337,11.529,8.112,10.256,8.401,4.239,11.194,8.69,5.908,5.469,-0.642,9.471,4.328,6.797,8.462,9.669,8.036,-0.642,6.132,6.42,1.869,10.002,-0.642,8.775,14.415,11.455,8.415,2.958,11.03,8.524,5.635,6.23,7.403,7.538,13.975,9.155,4.56,9.468,8.641,12.637,7.456,6.199,8.096,12.238,5.19,11.887,13.685,11.673,-0.642,5.644,11.695,9.608,12.045,10.107,8.888,10.251,5.326,8.908,7.429,9.858,11.627,12.012,8.975,10.436,8.751,10.526,6.611,10.166,6.148,8.687,8.065,12.361,8.081,11.418,7.033,6.489,6.368,12.968,9.821,12.242,7.485,1
2850717,9,6.642,4.933,-0.874,9.392,-0.874,12.558,11.887,7.554,-0.874,-0.874,9.432,2.498,4.675,6.218,10.708,-0.874,-0.874,-0.874,10.474,8.887,11.742,8.062,10.322,7.517,6.364,11.164,8.078,4.635,5.906,4.272,9.189,-0.874,7.987,8.457,9.521,7.484,4.425,6.27,-0.874,-0.874,9.988,3.803,8.638,14.434,11.334,8.514,6.688,11.285,8.6,6.682,-0.874,7.083,8.044,13.615,8.897,6.086,8.954,8.582,12.878,7.073,4.558,7.92,12.071,6.807,11.657,13.85,13.014,-0.874,0.579,11.556,9.326,12.053,9.786,8.581,10.016,4.635,8.896,5.983,9.451,11.492,12.056,9.122,9.872,8.22,10.352,6.426,9.779,3.291,8.134,7.439,12.996,7.725,11.74,6.519,6.131,4.372,13.207,9.649,12.225,6.638,1
2850718,8,6.678,6.101,0.905,11.023,0.905,12.172,12.468,0.905,9.267,0.905,10.224,0.905,7.476,4.067,10.781,6.951,6.721,0.905,10.623,8.658,12.261,8.101,9.479,8.775,8.954,11.232,9.037,0.905,0.905,0.905,10.043,0.905,7.486,7.935,10.302,7.74,0.905,0.905,0.905,0.905,10.399,0.905,8.17,14.108,10.859,7.488,0.905,11.591,8.141,9.919,6.098,7.733,7.959,13.822,8.611,0.905,8.659,8.439,12.559,6.362,2.723,7.878,12.939,9.328,12.057,14.123,12.343,0.905,0.905,11.754,9.11,11.731,9.863,9.035,10.222,5.458,9.116,7.224,9.544,11.124,11.889,9.324,10.01,9.449,10.073,8.893,9.823,0.905,8.721,7.104,12.397,8.396,11.986,7.695,0.905,6.538,12.838,11.379,11.938,5.36,1
2850720,5,7.727,6.186,6.124,11.03,2.872,12.228,12.259,7.305,7.026,6.042,10.132,8.049,6.551,7.07,10.683,6.298,5.258,3.377,10.919,8.735,12.059,7.571,10.043,8.336,7.623,11.248,8.878,6.653,3.415,0.688,10.665,4.567,7.834,8.154,9.918,8.216,5.674,6.036,6.307,3.694,9.948,0.688,8.994,13.168,10.995,7.777,3.148,11.272,8.087,8.298,5.844,7.954,7.119,13.199,9.069,3.831,9.021,8.793,12.441,8.402,6.445,8.216,12.626,8.507,11.873,13.74,12.255,0.688,6.886,11.623,9.478,11.712,9.852,8.879,10.398,6.059,9.448,8.501,9.75,11.315,11.927,9.682,10.445,9.258,10.161,8.104,9.927,6.406,8.892,8.117,12.634,8.281,11.702,7.844,7.251,7.922,12.855,11.238,11.806,7.628,1
2850721,9,5.808,4.711,-0.312,10.045,4.011,12.238,11.156,7.395,-0.312,-0.312,9.099,6.251,2.769,5.304,10.835,1.394,-0.312,4,10.356,9.069,11.145,8.517,9.996,7.5,6.375,11.279,8.305,3.913,5.905,3.31,9.378,1.511,6.376,8.885,8.555,7.722,6.405,5.842,-0.312,2.666,9.595,-0.312,8.295,14.45,11.426,8.455,5.682,10.868,8.846,7.378,-0.312,7.007,7.933,14.074,8.669,5.322,8.957,8.466,12.933,7.279,3.026,7.427,11.588,6.735,11.574,13.411,10.406,-0.312,5.705,11.619,9.574,11.997,9.686,8.921,10.175,6.851,8.494,6.866,9.367,11.674,12.073,9.027,9.741,8.607,10.703,6.837,9.876,6.179,8.076,8.308,12.74,6.827,11.271,5.812,5.442,4.597,13.137,10.456,12.25,7.618,1
2850722,8,6.375,4.204,3.218,9.893,-0.244,12.39,12.169,7.22,5.462,-0.244,9.707,6.854,5.585,6.098,10.883,4.305,-0.244,-0.244,10.782,9.108,11.894,8.602,9.946,8.21,6.685,11.023,8.731,6.383,5.655,-0.244,9.736,-0.244,7.952,8.167,10.423,7.49,-0.244,5.591,-0.244,3.678,10.12,-0.244,8.92,14.007,11.247,8.129,-0.244,10.816,8.587,6.411,6.4,7.708,7.343,13.888,9.147,6.687,9.362,8.536,12.691,6.897,4.916,8.082,12.017,6.75,11.654,13.986,12.744,-0.244,5.38,11.563,9.429,12.028,10.155,8.703,10.083,6.725,9.029,7.246,9.802,11.582,12.1,9.321,10.265,8.817,10.232,7.003,10.082,5,8.801,8.329,12.043,8.91,11.38,6.978,6.698,6.68,12.912,10.061,12.207,7.607,1
2850723,4,6.624,3.149,6.61,10.418,5.89,11.888,11.761,7.03,4.209,4.77,9.499,7.502,5.873,7.099,11.039,4.148,0.304,5.858,10.544,9.286,11.689,8.228,9.327,7.945,6.723,10.942,8.177,5.635,5.145,0.304,9.442,3.089,7.733,8.651,10.076,7.952,5.436,6.898,4.803,3.211,9.976,5.983,8.876,14.428,10.976,7.956,3.831,10.564,8.41,6.199,3.394,8.124,6.289,14.479,8.817,6.165,9.545,8.98,12.375,7.359,6.739,8.532,13.104,7.025,11.467,13.871,12.704,0.304,4.993,11.768,9.393,11.362,10.13,8.997,10.216,6.635,8.59,7.278,9.65,11.111,11.917,8.961,10.076,8.637,10.125,6.702,9.779,6.322,8.451,8.209,12.029,8.068,10.917,5.429,6.835,6.488,12.534,10.263,12.031,7.636,1
2850724,10,5.897,4.519,3.339,9.1,-1.176,12.041,11.901,7.804,6.913,-1.176,9.656,6.962,5.537,5.338,10.752,2.783,1.605,1.015,10.387,9.113,11.725,8.311,9.837,8.272,6.011,10.949,8.316,5.871,-1.176,4.596,9.265,4.073,6.88,8.277,10.302,7.774,2.126,5.866,-1.176,-0.012,9.872,-1.176,8.801,14.248,11.331,8.205,3.642,11.037,8.51,6.317,5.766,7.519,6.849,13.837,9.012,5.558,9.239,8.252,12.627,6.65,5.414,8.136,12.257,6.817,11.525,13.822,11.211,-1.176,5.659,11.535,9.309,11.708,10.328,8.905,10.018,5.855,8.551,6.707,9.529,11.538,11.847,8.819,9.825,8.437,10.323,6.273,10.017,5.919,8.611,8.151,12.013,8.695,11.381,6.558,6.09,6.08,12.963,9.106,11.985,7.119,1
2850725,9,6.747,6.291,5.744,10.377,0.069,12.457,12.34,7.5,7.056,0.069,9.96,6.334,6.575,5.534,10.816,0.069,5.175,4.158,10.561,9.435,12.103,8.206,10.116,8.012,7.178,11.153,8.557,6.57,0.069,0.069,9.293,0.069,7.926,8.166,10.398,7.819,1.704,6.051,6.035,0.069,9.947,0.069,8.758,14.116,11.224,8.237,0.069,11.265,8.789,7.91,3.721,7.968,7.725,13.972,9.088,4.822,9.047,8.673,12.698,6.44,6.349,8.492,12.736,8.096,11.859,14.12,12.689,0.069,5.425,11.588,9.286,11.916,10.202,8.827,10.167,5.332,8.976,7.822,9.727,11.495,12.021,9.703,9.897,9.089,10.243,6.276,10.049,5.597,9.154,8.115,12.376,8.722,11.884,5.722,5.957,7.292,13.127,10.564,12.146,7.585,1
2850727,10,8.189,6.16,5.809,10.638,4.01,12.195,12.594,6.951,6.362,5.435,10.475,3.47,6.478,5.839,10.99,5.623,5.6,0.865,10.979,9.262,12.37,8.079,10.237,8.379,8.391,11.321,8.759,5.99,4.643,3.831,10.355,4.522,7.591,8.375,10.203,8.342,0.865,5.034,6.581,2.52,10.468,0.865,8.903,14.396,11.011,8.002,0.865,11.377,9.103,8.911,7.276,8.175,7.506,13.957,9.042,4.15,9.32,8.848,12.664,7.542,5.842,8.28,12.916,8.075,11.725,13.856,10.854,0.865,5.848,11.862,9.774,12.047,9.97,8.989,10.571,6.188,9.305,7.448,9.673,11.169,12.166,9.082,10.502,9.269,10.407,7.649,10.165,6.594,9.323,8.872,12.453,8.292,11.914,6.816,7.516,7.59,12.949,10.554,12.175,6.447,1
2850728,4,6.479,5.669,5.515,11.08,-0.139,11.683,11.413,7.467,6.285,2.336,9.59,6.749,6.336,6.543,10.876,1.47,4.73,-0.139,10.285,9.523,11.12,8.384,10.189,8.208,6.839,10.733,8.54,6.113,5.951,4.928,9.46,2.703,6.64,7.764,9.262,8.298,4.09,4.436,5.325,-0.139,9.604,3.991,9.117,14.384,10.918,7.375,4.042,10.892,8.765,7.242,5.416,8.251,7.397,13.808,8.555,6.5,9.757,9.251,12.077,7.217,4.001,8.941,12.518,8.064,11.525,13.5,11.532,-0.139,6.222,11.634,9.409,11.603,9.711,9.084,10.016,7.444,9.226,9.163,9.568,11.469,11.765,9.657,9.455,9.344,9.976,6.142,9.777,5.288,8.889,8.114,12.46,8.017,11.252,7.174,6.811,7.336,12.479,11.133,11.79,7.474,1
2850729,6,6.42,6.272,3.026,9.883,4.124,12.028,12.149,7.185,4.628,4,10.594,7.658,6.57,6.14,11.255,4.821,3.029,-0.585,10.699,9.249,11.691,8.373,9.944,8.578,7.464,10.923,8.949,6.985,4.925,5.127,10.3,-0.585,6.536,7.854,10.202,7.947,4.225,5.561,-0.585,-0.585,10.303,3.376,9.604,14.139,11.064,7.805,-0.585,10.933,8.385,5.853,5.53,8.586,7.715,13.843,8.991,6.65,9.776,9.202,12.536,7.24,5.577,9.288,13.177,8.155,11.806,13.954,9.24,-0.585,6.311,11.741,9.754,11.974,10.341,9.231,10.684,6.391,9.589,8.353,9.735,11.492,12.266,9.03,9.523,9.22,10.577,6.538,10.35,6.636,9.68,7.818,12.134,9.056,11.393,7.975,7.391,8.266,12.8,9.791,12.16,7.069,1
2850730,8,6.55,6.217,4.442,9.636,-1.586,12.68,12.411,8.086,5.495,3.978,9.964,6.383,6.291,7.06,11.094,4.775,-1.586,-1.586,10.947,8.433,11.948,8.523,9.753,8.486,6.108,11.302,8.65,6.917,4.83,3.83,10.03,2.215,7.028,8.064,10.8,7.47,1.695,5.481,-1.586,1.303,10.349,4.364,9.199,13.284,11.221,8.283,2.398,11.216,8.188,6.359,6.194,7.911,7.824,12.872,9.383,6.609,9.062,8.474,12.817,6.863,6.164,8.955,12.733,7.463,11.734,14.042,12.077,-1.586,6.414,11.686,9.557,12.22,10.124,8.552,10.46,6.03,9.654,7.673,10.207,11.798,12.332,8.715,10.213,8.409,10.597,6.878,10.123,6.752,8.708,7.49,12.773,9.356,11.699,6.903,7.471,6.512,12.98,9.793,12.115,6.873,1
2850732,6,6.334,4.892,4.867,10.905,-0.383,12.05,11.537,7.14,5.819,3.239,9.242,6.438,5.349,6.08,10.931,4.708,-0.383,-0.383,10.264,9.717,11.285,8.368,10.122,8.085,5.822,10.921,8.32,6.15,3.962,3.577,9.028,-0.383,6.432,8.217,9.742,7.824,-0.383,5.285,-0.383,-0.383,9.785,-0.383,8.891,14.69,11.151,7.59,-0.383,11.255,9.313,5.732,5.205,7.827,8.229,13.733,8.552,5.921,9.609,9.216,12.415,7.739,5.81,8.857,12.891,7.875,11.759,13.587,12.008,-0.383,6.346,11.636,9.475,11.624,9.671,8.675,9.946,7.094,8.668,8.165,9.602,11.907,11.715,9.57,9.346,8.994,10.248,6.474,9.754,4.437,8.659,8.101,13.026,7.911,11.582,6.09,6.1,6.463,12.694,10.882,11.793,7.951,1
2850733,5,7.154,4.735,0.21,11.223,0.21,11.83,11.6,6.891,5.356,3.887,9.715,6.226,6.329,6.799,10.788,4.567,0.21,0.21,10.474,8.96,11.285,8.434,9.536,8.101,7.511,10.803,8.558,6.026,6.961,5.042,9.991,2.159,7.598,7.718,9.536,8.498,5.905,3.158,5.243,3.183,9.713,4.625,9.274,13.146,10.713,8.078,0.21,10.983,9.401,6.162,6.292,8.584,6.727,13.099,8.6,6.235,9.173,8.946,12.073,8.168,6.86,9.404,13.568,8.503,12.203,13.403,12.299,3.695,5.178,11.953,9.567,11.491,9.676,9.3,10.056,7.329,8.83,8.636,9.456,11.096,11.846,9.71,9.826,9.69,10.22,7.182,9.83,6.586,8.745,8.53,11.91,7.813,11.537,6.721,7.048,7.403,12.139,11.203,11.485,7.676,1
2850734,3,6.718,5.564,4.339,10.119,-0.504,12.362,12.268,7.03,4.653,4.394,10.235,6.828,6.223,6.372,10.978,4.607,-0.504,-0.504,10.465,9.017,11.811,8.55,10.073,8.579,7.047,10.93,8.644,6.299,3.14,5.663,9.901,4.978,7.188,7.885,10.413,8.076,-0.504,6.152,-0.504,-0.504,9.776,3.496,9.151,14.268,11.054,7.83,-0.504,12.139,9.305,6.746,6.591,8.271,7.764,13.28,8.669,6.113,9.461,8.892,12.244,7.729,5.953,9.405,13.097,8.368,12.393,13.947,11.241,-0.504,6.351,11.789,9.395,11.773,9.646,8.928,10.318,7.057,9.192,8.596,9.523,11.23,11.849,9.284,9.661,9.376,10.316,6.482,10.017,6.517,9.081,8.085,13.449,9.114,12.512,7.289,7.099,7.623,12.493,10.279,11.574,6.413,1
2850735,7,5.165,5.145,4.852,9.226,-0.953,11.845,11.372,6.747,5.85,3.552,9.819,7.036,6.059,6.56,11.021,3.688,-0.953,-0.953,10.358,9.125,11.017,8.08,10.096,8.278,6.156,10.77,8.474,5.803,4.553,-0.953,9.685,3.917,6.01,8.14,9.523,8.14,1.083,5.815,-0.953,5.288,9.651,-0.296,9.486,14.186,10.952,7.766,3.077,11.17,8.736,5.685,5.711,7.905,7.004,13.749,8.602,5.761,9.262,8.884,12.565,7.001,5.538,9.114,13.145,8.301,11.951,13.439,5.883,-0.953,5.97,11.661,9.493,11.861,9.805,9.024,10.11,6.274,9.021,6.568,9.404,11.335,12.058,8.839,9.517,8.875,10.305,6.436,9.954,6.38,8.935,7.893,12.54,7.853,11.635,7.021,7.162,7.079,12.783,7.559,11.931,6.881,1
2850736,7,5.077,5.368,3.77,11.172,-0.314,12.197,11.885,6.895,3.997,3.529,9.811,7.385,6.465,6.089,11.164,-0.314,-0.314,2.257,10.474,10.116,11.616,8.403,10.341,8.196,6.081,10.924,8.289,5.406,4.476,3.156,9.119,4.203,6.462,7.544,9.36,8.068,2.839,5.346,-0.314,-0.314,9.58,-0.314,9.056,14.575,10.865,7.967,-0.314,10.861,9.105,6.602,5.606,7.849,6.658,14.359,8.847,5.646,9.834,9.017,12.426,6.687,5.691,8.563,12.449,7.263,12.122,13.839,11.83,-0.314,5.539,11.685,9.387,11.735,9.78,8.88,10.004,6.879,8.76,8.719,9.569,11.317,11.964,9.362,9.63,8.764,10.123,6.853,9.774,5.716,8.874,7.586,12.543,7.855,11.053,6.474,5.953,6.176,12.885,11.012,12.005,7.945,1
2850737,3,5.805,2.693,3.332,10.384,1.777,11.364,11.208,6.25,4.519,5.173,9.535,7.536,6.098,5.735,11.035,4.51,-1,-1,10.262,9.917,10.877,8.21,9.725,8.331,5.618,10.737,8.302,5.822,5.23,-1,9.298,2.295,6.804,7.889,8.706,8.318,4.694,5.902,-1,3.429,9.3,4.064,9.137,14.697,10.778,7.463,-1,10.598,9.013,6.512,5.49,8.457,5.893,14.297,8.741,5.958,10.264,9.232,12.184,7.414,5.785,8.319,11.948,6.931,12.064,13.666,11.347,-1,5.116,11.705,9.345,11.386,9.751,9.185,9.792,7.017,8.292,6.348,9.352,11.055,11.751,9.557,9.121,9.026,10.187,6.852,9.627,5.952,8.834,7.988,11.73,7.072,10.675,6.301,6.583,6.589,12.408,10.403,11.84,8.005,1
2850738,3,6.019,5.204,5.088,10.583,-0.617,11.864,11.075,6.818,6.005,4.822,9.355,7.18,6.426,6.588,10.808,3.987,-0.617,-0.617,10.408,9.956,10.932,8.493,9.976,8.001,6.703,10.691,8.257,5.839,5.582,3.65,9.335,4.35,7.002,8.06,9.066,8.092,3.61,5.506,-0.617,5.592,9.638,1.638,9.187,14.169,11.087,7.716,4.854,10.708,8.847,6.438,6.016,7.738,7.398,14.188,8.826,6.424,9.928,9.463,12.227,6.856,5.887,9.081,12.852,8.145,11.817,13.596,11.712,-0.617,6.478,11.557,9.391,11.461,9.569,8.986,9.937,6.955,8.715,8.465,9.491,11.38,11.74,9.678,9.482,8.965,10.095,6.162,9.821,6.532,8.573,8.016,11.977,7.578,10.937,6.897,6.906,6.397,12.461,10.629,11.717,8.094,1
2850739,9,6.288,5.153,2.986,10.332,-0.951,11.552,10.962,6.538,4.083,4.92,9.18,7.227,5.442,6.365,10.83,5.323,-0.951,-0.951,10.152,9.794,10.991,8.566,10.314,7.99,6.179,10.552,8.275,5.109,5.414,4.701,9.496,3.58,6.385,7.695,8.679,8.655,3.552,5.05,-0.951,3.174,9.618,-0.951,9.103,14.644,10.79,7.314,-0.951,10.666,9.273,6.108,6.327,7.818,6.845,14.018,8.366,6.184,9.906,9.01,12.092,6.787,4.945,8.401,12.275,7.563,11.901,13.347,10.581,-0.951,6.337,11.712,9.415,11.259,9.422,9.1,9.673,7.017,8.567,8.366,9.288,11.309,11.663,9.321,9.063,9.026,9.854,6.776,9.621,5.827,8.668,8.371,12.142,7.065,10.962,6.697,6.863,7.61,12.349,10.272,11.605,7.849,1
2850740,9,6.542,6.383,4.959,9.869,2.985,12.322,12.223,6.512,5.465,4.373,10.439,6.593,5.402,5.854,10.889,4.855,0.161,0.161,10.5,8.792,11.871,8.386,9.752,8.459,7.131,10.747,8.782,6.42,2.103,0.161,9.841,0.161,6.733,7.577,10.765,7.914,0.161,3.604,0.161,0.161,10.31,4.92,9.304,13.523,10.92,7.44,0.161,10.338,8.109,7.228,6.72,8.206,7.532,13.235,8.823,5.996,9.335,8.755,12.514,6.204,5.385,9.467,13.345,8.391,11.553,13.88,9.382,0.161,5.854,11.534,9.314,11.862,9.826,8.971,10.237,5.839,9.483,7.655,9.408,11.288,11.966,8.662,9.578,8.947,10.188,6.626,9.989,6.249,9.006,8.066,11.828,9.042,10.917,6.234,6.966,7.352,12.746,9.605,11.704,6.493,1
2850741,6,6.36,4.397,-0.23,9.656,-0.23,11.79,11.321,6.82,5.697,4.958,9.487,7.543,6.069,6.471,10.967,4.933,3.01,-0.23,10.226,9.363,11.242,8.372,9.766,7.774,5.799,10.463,8.47,5.951,-0.23,5.185,9.126,-0.23,6.338,7.7,9.406,8.389,-0.23,5.601,-0.23,-0.23,9.401,4.979,9.014,14.172,10.875,7.052,-0.23,10.504,8.668,6.455,4.684,7.768,6.818,13.614,8.462,5.714,9.532,9.037,12.196,7.382,5.288,8.588,12.301,7.648,12.083,13.593,10.836,-0.23,6.169,11.432,9.008,11.411,9.387,9.013,9.541,6.654,8.861,7.557,9.142,11.233,11.811,9.133,9.334,8.696,10.047,6.53,9.662,6.614,8.672,7.66,11.69,7.47,10.897,6.452,6.707,6.931,12.342,9.921,11.597,7.593,1
2850742,10,6.664,4.731,3.513,11.015,-0.322,11.943,11.044,6.452,5.231,5.749,9.547,6.947,6.408,6.313,10.735,3.882,-0.322,-0.322,10.606,9.273,10.95,8.035,9.444,8.137,6.118,10.597,8.538,5.343,4.667,3.976,9.279,-0.322,7.584,7.96,8.942,8.534,2.011,4.854,-0.322,-0.322,9.177,4.498,9.061,13.364,10.947,7.488,-0.322,10.83,8.958,6.191,5.844,8.235,6.875,13.489,8.342,6.205,9.338,8.512,11.97,7.021,6.182,8.398,11.773,7.269,12.107,13.382,11.641,-0.322,5.855,11.69,9.201,11.319,9.383,8.969,10.086,6.977,8.545,8.738,9.355,10.901,11.686,9.61,9.612,9.057,9.835,7.101,9.845,6.857,8.516,7.933,11.852,7.52,10.718,6.838,6.431,6.841,12.344,10.958,11.559,7.446,1
2850743,10,7.214,6.173,3.958,10.844,4.312,12.31,12.318,7.232,4.902,4.447,10.659,6.372,6.565,7.083,10.869,4.187,-0.19,2.195,10.538,8.057,12.066,8.472,9.832,8.702,6.982,11.094,8.692,6.862,-0.19,5.846,10.349,3.662,6.572,7.915,11.14,8.522,3.563,5.403,-0.19,5.025,9.967,1.521,9.199,13.16,10.986,7.955,-0.19,11.932,8.849,6.662,6.373,8.519,7.947,12.357,8.643,6.431,8.952,8.019,12.218,7.806,6.105,8.991,13.035,8.316,12.36,13.741,10.857,2.573,6.6,11.681,9.215,11.603,9.662,9.103,10.483,7.061,9.166,8.525,9.419,10.937,11.636,9.122,9.717,9.339,10.109,6.62,10.073,7.258,9.22,8.409,12.861,9.549,12.127,7.381,7.507,7.668,12.422,10.651,11.501,6.636,1
